question_id,phase_key,phase_name,sequence_window,audience,category,question,spiritual_reflective_variant,primary_construct,secondary_constructs,expected_dimensions,context_relevance_prior,question_score_bias,min_answer_tokens_hint,risk_level,deep_question_requires_opt_in,status,version
CQ001,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Ziel & Fokus,Was wäre am Ende dieses Gesprächs für dich hilfreich geklärt?,Was möchte durch dieses Gespräch in dir klarer werden?,GOAL_ORIENTATION,CLARITY,"CLARITY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ002,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Ziel & Fokus,"Woran würdest du merken, dass sich dieses Gespräch für dich gelohnt hat?","Woran würdest du innerlich spüren, dass etwas Wesentliches in Bewegung gekommen ist?",PREFERRED_FUTURE,GOAL_ORIENTATION,"AGENCY,CLARITY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ003,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Realität,Was beschäftigt dich daran im Moment am stärksten?,Welcher Teil dieser Situation ruft im Augenblick am deutlichsten nach deiner Aufmerksamkeit?,REALITY_OBSERVATION,EMOTIONAL_AWARENESS,CLARITY,0.45,0.0,6,LOW,False,DRAFT,1
CQ004,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Realität,"Was ist konkret passiert – möglichst ohne Erklärung, warum es passiert ist?","Was bleibt von der Situation übrig, wenn du Deutungen für einen Moment beiseitelässt?",REALITY_OBSERVATION,ASSUMPTIONS,CLARITY,0.45,0.0,6,LOW,False,DRAFT,1
CQ005,P1_ENTRY,Einstieg,erste 1–3 Antworten,CORPORATE,System,"Welche Rolle hast du in dieser Situation, und welche Erwartungen sind damit verbunden?",,SYSTEMIC_CONTEXT,LOCUS_OF_CONTROL,"CONNECTION,CLARITY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ006,P1_ENTRY,Einstieg,erste 1–3 Antworten,PRIVATE,Selbstbezug,Was möchtest du über dich selbst in dieser Situation besser verstehen?,Welcher Teil von dir möchte hier verstanden statt verändert werden?,IDENTITY_NARRATIVE,SELF_APPRECIATION,"APPRECIATION,OPENNESS,AGENCY",0.45,0.0,6,MEDIUM,False,DRAFT,1
CQ007,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Einfluss,Was davon liegt heute tatsächlich in deinem Einflussbereich?,Wo erlebst du in dieser Situation einen echten freien Gestaltungsspielraum?,LOCUS_OF_CONTROL,AGENCY,"AGENCY,FREE_WILL,CLARITY",0.45,0.0,6,LOW,False,DRAFT,1
CQ008,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Ressourcen,Was funktioniert trotz der Herausforderung bereits ein wenig?,"Wo ist bereits etwas von der Qualität vorhanden, nach der du suchst?",RESOURCES,EXCEPTIONS,"AGENCY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ009,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Werte,Was ist dir an dieser Situation besonders wichtig?,Welcher Wert in dir möchte hier ernst genommen werden?,VALUES,MEANING,"CLARITY,FREE_WILL",0.45,0.0,6,LOW,False,DRAFT,1
CQ010,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Optionen,Welche Möglichkeiten siehst du im Moment – auch unvollständige?,"Welche Möglichkeiten dürfen auftauchen, wenn du noch nichts entscheiden musst?",OPTIONS,OPENNESS,"FREE_WILL,OPENNESS,AGENCY",0.45,0.0,6,LOW,False,DRAFT,1
CQ011,P1_ENTRY,Einstieg,erste 1–3 Antworten,CORPORATE,Ziel & Wirkung,"Welche Veränderung würde für dich, dein Team oder eure Zusammenarbeit einen sinnvollen Unterschied machen?",,PREFERRED_FUTURE,SYSTEMIC_CONTEXT,"AGENCY,CLARITY,OPENNESS",0.45,0.0,6,LOW,False,DRAFT,1
CQ012,P1_ENTRY,Einstieg,erste 1–3 Antworten,PRIVATE,Bedeutung,Warum ist dieses Thema gerade jetzt für dich bedeutsam?,Warum könnte dieses Thema gerade jetzt an deiner inneren Tür klopfen?,MEANING,VALUES,"OPENNESS,CLARITY",0.45,0.0,6,MEDIUM,False,DRAFT,1
CQ013,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Sprache,Welchen Satz sagst du dir selbst am häufigsten über diese Situation?,"Welche Worte wiederholen sich in dir, wenn du an dieses Thema denkst?",BELIEFS,IDENTITY_NARRATIVE,"OPENNESS,AGENCY",0.45,0.0,6,MEDIUM,False,DRAFT,1
CQ014,P1_ENTRY,Einstieg,erste 1–3 Antworten,BOTH,Sprache,Wenn du die Situation spontan in einem Satz beschreibst: Wie lautet dieser Satz?,Wenn du nichts glättest oder schön formulierst: Welcher Satz kommt zuerst?,REALITY_OBSERVATION,BELIEFS,CLARITY,0.45,0.0,6,MEDIUM,False,DRAFT,1
