case,dimension,target,target_range,actual,confidence,status,cause,secondary
G01,Wirksamkeit,mid,40–70,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G01,Klarheit,high,70–100,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G04,Offenheit,low,0–40,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G05,Wertschätzung,neutral_high,45–80,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G06,Klarheit,mid,40–70,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G07,Wertschätzung,neutral,45–55,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G11,Freier Wille,low,0–40,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G11,Wertschätzung,low_mid,25–55,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G11,Wirksamkeit,low_mid,25–55,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G11,Offenheit,low,0–40,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G17,Wirksamkeit,very_low,0–25,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G17,Freier Wille,low,0–40,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G17,Offenheit,low,0–40,,,MISSING,A1 Assessability zu streng / Evidenz zu dünn,Assessability gate
G02,Klarheit,high,70–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G02,Freier Wille,mid,40–70,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G02,Wirksamkeit,mid_high,55–85,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G02,Offenheit,mid,40–70,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G12,Freier Wille,mid,40–70,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G12,Klarheit,high,70–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G13,Verbindung,high,70–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G13,Freier Wille,high_neutral,50–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G14,Offenheit,high,70–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G14,Verbindung,high,70–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G14,Wertschätzung,high,70–100,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G19,Wertschätzung,neutral,45–55,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G19,Offenheit,neutral,45–55,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G25,Freier Wille,neutral,45–55,,,MISSING,R3 Sense-/Pragmatik-Resolver zu flach,"Sense selection, Pragmatic function"
G03,Klarheit,very_high,85–100,74.8,0.98,TOO_LOW,C2 Klarheitsbeitrag zu schwach,Structured clarity
G04,Klarheit,high,70–100,66.8,0.98,TOO_LOW,C2 Klarheitsbeitrag zu schwach,Structured clarity
G05,Klarheit,high,70–100,68.6,0.98,TOO_LOW,C2 Klarheitsbeitrag zu schwach,Structured clarity
G15,Klarheit,high,70–100,68.2,0.98,TOO_LOW,C2 Klarheitsbeitrag zu schwach,Structured clarity
